title,release_year,country,type,listed_in,rating,budget,revenue,roi,vote_average,popularity,production_countries,genres
Chappie,2015,"South Africa, United States",Movie,"Action & Adventure, Sci-Fi & Fantasy",R,49000000,104399548,1.1306030204081632,6.6,116.700319,"[{""iso_3166_1"": ""MX"", ""name"": ""Mexico""}, {""iso_3166_1"": ""ZA"", ""name"": ""South Africa""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]","[{""id"": 80, ""name"": ""Crime""}, {""id"": 28, ""name"": ""Action""}, {""id"": 878, ""name"": ""Science Fiction""}]"
The BFG,2016,"United States, India, United Kingdom",Movie,"Children & Family Movies, Dramas",PG,140000000,183345589,0.30961135,6.0,44.19092,"[{""iso_3166_1"": ""IN"", ""name"": ""India""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]","[{""id"": 12, ""name"": ""Adventure""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 14, ""name"": ""Fantasy""}]"
The Conjuring 2,2016,"Canada, United States, United Kingdom",Movie,Horror Movies,R,40000000,320170008,7.0042502,7.0,68.794673,"[{""iso_3166_1"": ""CA"", ""name"": ""Canada""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]","[{""id"": 27, ""name"": ""Horror""}]"
"Hail, Caesar!",2016,"United States, United Kingdom, Japan",Movie,Comedies,PG-13,22000000,63647656,1.8930752727272728,5.7,39.006187,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]","[{""id"": 35, ""name"": ""Comedy""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 9648, ""name"": ""Mystery""}]"
By the Sea,2015,"France, Malta, United States",Movie,"Dramas, Romantic Movies",R,10000000,3727746,-0.6272254,5.4,11.267676,"[{""iso_3166_1"": ""FR"", ""name"": ""France""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]","[{""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}]"
Legend,2015,"United Kingdom, France, United States",Movie,"Dramas, International Movies, Thrillers",R,25000000,42972994,0.71891976,6.7,32.854557,"[{""iso_3166_1"": ""GB"", ""name"": ""United Kingdom""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}, {""iso_3166_1"": ""FR"", ""name"": ""France""}]","[{""id"": 80, ""name"": ""Crime""}, {""id"": 53, ""name"": ""Thriller""}]"
Steve Jobs,2015,"United Kingdom, United States",Movie,Dramas,R,30000000,34441873,0.14806243333333333,6.8,53.670525,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]","[{""id"": 18, ""name"": ""Drama""}, {""id"": 36, ""name"": ""History""}]"
Sinister 2,2015,"United States, United Kingdom",Movie,Horror Movies,R,10000000,52882018,4.2882018,5.4,26.090495,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]","[{""id"": 27, ""name"": ""Horror""}]"
Ex Machina,2015,United Kingdom,Movie,"Dramas, Independent Movies, International Movies",R,15000000,36869414,1.4579609333333334,7.6,95.130041,"[{""iso_3166_1"": ""GB"", ""name"": ""United Kingdom""}]","[{""id"": 18, ""name"": ""Drama""}, {""id"": 878, ""name"": ""Science Fiction""}]"
Midnight Special,2016,"United States, Greece",Movie,"Action & Adventure, Sci-Fi & Fantasy",PG-13,18000000,6212282,-0.6548732222222222,6.2,32.717853,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]","[{""id"": 12, ""name"": ""Adventure""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 878, ""name"": ""Science Fiction""}]"
Room,2015,"Ireland, Canada, United Kingdom, United States",Movie,"Dramas, Independent Movies",R,6000000,35401758,4.900293,8.1,66.11334,"[{""iso_3166_1"": ""CA"", ""name"": ""Canada""}, {""iso_3166_1"": ""IE"", ""name"": ""Ireland""}]","[{""id"": 18, ""name"": ""Drama""}, {""id"": 53, ""name"": ""Thriller""}]"
Secret in Their Eyes,2015,"United States, United Kingdom, Spain, South Korea",Movie,"Dramas, Thrillers",PG-13,19500000,34854990,0.7874353846153846,6.2,15.012237,"[{""iso_3166_1"": ""ES"", ""name"": ""Spain""}, {""iso_3166_1"": ""GB"", ""name"": ""United Kingdom""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]","[{""id"": 80, ""name"": ""Crime""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 9648, ""name"": ""Mystery""}]"
The Little Prince,2015,"France, Canada, Italy, United States, China",Movie,Children & Family Movies,PG,64000000,97571250,0.52455078125,7.6,35.384423,"[{""iso_3166_1"": ""FR"", ""name"": ""France""}]","[{""id"": 12, ""name"": ""Adventure""}, {""id"": 16, ""name"": ""Animation""}, {""id"": 14, ""name"": ""Fantasy""}]"
We Are Your Friends,2015,"United Kingdom, France, United States",Movie,"Dramas, Independent Movies, Music & Musicals",R,6000000,11122090,0.8536816666666667,6.3,28.819424,"[{""iso_3166_1"": ""GB"", ""name"": ""United Kingdom""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}, {""iso_3166_1"": ""FR"", ""name"": ""France""}]","[{""id"": 18, ""name"": ""Drama""}, {""id"": 10402, ""name"": ""Music""}, {""id"": 10749, ""name"": ""Romance""}]"
